1311,63,"The given value cannot be stored into the stack. MAX=0, VALUE=0"
1324,28,"soba/testdata/DefUseTestData"
1325,16,"java/lang/Object"
1326,10,"SourceFile"
1327,19,"DefUseTestData.java"
1328,12,"InnerClasses"
1330,35,"soba/testdata/DefUseTestData$Inner2"
1331,6,"Inner2"
1333,35,"soba/testdata/DefUseTestData$Inner1"
1334,6,"Inner1"
1336,30,"soba/testdata/DefUseTestData$2"
1338,30,"soba/testdata/DefUseTestData$1"
1340,6,"<init>"
1341,3,"()V"
1342,4,"Code"
1349,15,"LineNumberTable"
1352,18,"LocalVariableTable"
1360,4,"this"
1361,30,"Lsoba/testdata/DefUseTestData;"
1374,14,"overwriteParam"
1375,5,"(II)V"
1386,13,"StackMapTable"
1398,16,"java/lang/System"
1399,3,"out"
1400,21,"Ljava/io/PrintStream;"
1403,19,"java/io/PrintStream"
1404,7,"println"
1405,4,"(I)V"
1413,1,"x"
1414,1,"I"
1416,1,"y"
1442,19,"localDataDependence"
1485,3,"err"
1515,1,"b"
1516,1,"Z"
1586,20,"tryFinallyDependence"
1587,3,"()I"
1605,19,"java/io/IOException"
1653,12,"java/io/File"
1654,23,"java/io/FileInputStream"
1661,4,"test"
1663,21,"(Ljava/lang/String;)V"
1674,17,"(Ljava/io/File;)V"
1680,4,"read"
1695,5,"close"
1760,15,"printStackTrace"
1778,19,"java/lang/Throwable"
1821,1,"e"
1822,21,"Ljava/io/IOException;"
1827,1,"f"
1828,14,"Ljava/io/File;"
1830,6,"stream"
1831,25,"Ljava/io/FileInputStream;"
2048,12,"forStatement"
2122,1,"i"
2194,14,"whileStatement"
2339,14,"withInnerClass"
2361,33,"(Lsoba/testdata/DefUseTestData;)V"
2370,70,"(Lsoba/testdata/DefUseTestData;Lsoba/testdata/DefUseTestData$Inner1;)V"
2376,5,"print"
2384,1,"k"
2386,6,"inner1"
2387,37,"Lsoba/testdata/DefUseTestData$Inner1;"
2389,6,"inner2"
2390,37,"Lsoba/testdata/DefUseTestData$Inner2;"
2430,13,"soba/testdata"
2431,32,"de40dd8c7c941a720c8e44117b20a7b2"
2447,30,"soba/testdata/DefUseTestData$2"
2448,35,"soba/testdata/DefUseTestData$Inner2"
2449,10,"SourceFile"
2450,19,"DefUseTestData.java"
2451,15,"EnclosingMethod"
2452,12,"InnerClasses"
2454,28,"soba/testdata/DefUseTestData"
2455,14,"withInnerClass"
2456,3,"()V"
2457,6,"Inner2"
2459,42,"soba/testdata/DefUseTestData$Inner2$Inner3"
2460,6,"Inner3"
2462,35,"soba/testdata/DefUseTestData$Inner1"
2463,6,"Inner1"
2466,1,"x"
2467,1,"I"
2469,1,"i"
2470,44,"Lsoba/testdata/DefUseTestData$Inner2$Inner3;"
2472,6,"this$0"
2473,30,"Lsoba/testdata/DefUseTestData;"
2475,6,"<init>"
2476,70,"(Lsoba/testdata/DefUseTestData;Lsoba/testdata/DefUseTestData$Inner1;)V"
2477,4,"Code"
2484,15,"LineNumberTable"
2488,18,"LocalVariableTable"
2514,33,"(Lsoba/testdata/DefUseTestData;)V"
2516,77,"(Lsoba/testdata/DefUseTestData$Inner2;Lsoba/testdata/DefUseTestData$Inner1;)V"
2521,4,"this"
2522,32,"Lsoba/testdata/DefUseTestData$2;"
2526,3,"arg"
2527,37,"Lsoba/testdata/DefUseTestData$Inner1;"
2566,5,"print"
2579,16,"java/lang/System"
2580,3,"out"
2581,21,"Ljava/io/PrintStream;"
2585,19,"java/io/PrintStream"
2586,7,"println"
2587,4,"(I)V"
2594,21,"(Ljava/lang/Object;)V"
2624,13,"soba/testdata"
2625,32,"929b3dc302360d1d19b8e76756b533a6"
2637,35,"soba/testdata/DefUseTestData$Inner2"
2638,16,"java/lang/Object"
2639,10,"SourceFile"
2640,19,"DefUseTestData.java"
2641,12,"InnerClasses"
2643,28,"soba/testdata/DefUseTestData"
2644,6,"Inner2"
2646,42,"soba/testdata/DefUseTestData$Inner2$Inner3"
2647,6,"Inner3"
2649,35,"soba/testdata/DefUseTestData$Inner1"
2650,6,"Inner1"
2652,3,"arg"
2653,37,"Lsoba/testdata/DefUseTestData$Inner1;"
2655,6,"this$0"
2656,30,"Lsoba/testdata/DefUseTestData;"
2658,6,"<init>"
2659,70,"(Lsoba/testdata/DefUseTestData;Lsoba/testdata/DefUseTestData$Inner1;)V"
2660,4,"Code"
2667,15,"LineNumberTable"
2671,18,"LocalVariableTable"
2679,3,"()V"
2690,4,"this"
2691,37,"Lsoba/testdata/DefUseTestData$Inner2;"
2720,5,"print"
2755,13,"soba/testdata"
2756,32,"3ce065e1c68b45425e03573476456722"
2767,35,"soba/testdata/ControlDependenceCode"
2768,16,"java/lang/Object"
2769,10,"SourceFile"
2770,26,"ControlDependenceCode.java"
2772,6,"<init>"
2773,3,"()V"
2774,4,"Code"
2781,15,"LineNumberTable"
2783,18,"LocalVariableTable"
2791,4,"this"
2792,37,"Lsoba/testdata/ControlDependenceCode;"
2805,4,"main"
2806,22,"([Ljava/lang/String;)V"
2830,13,"StackMapTable"
2833,19,"[Ljava/lang/String;"
2851,16,"java/lang/String"
2875,6,"length"
2876,3,"()I"
2883,4,"test"
2929,3,"use"
2930,4,"(I)V"
2936,1,"s"
2937,18,"Ljava/lang/String;"
2940,4,"args"
2942,1,"x"
2943,1,"I"
3094,13,"soba/testdata"
3095,32,"cf054a20dd937b3763e0f3835b4307ae"
3106,35,"soba/testdata/DefUseTestData$Inner1"
3107,16,"java/lang/Object"
3108,10,"SourceFile"
3109,19,"DefUseTestData.java"
3110,12,"InnerClasses"
3112,28,"soba/testdata/DefUseTestData"
3113,6,"Inner1"
3115,6,"this$0"
3116,30,"Lsoba/testdata/DefUseTestData;"
3118,6,"<init>"
3119,33,"(Lsoba/testdata/DefUseTestData;)V"
3120,4,"Code"
3127,15,"LineNumberTable"
3130,18,"LocalVariableTable"
3138,3,"()V"
3144,4,"this"
3145,37,"Lsoba/testdata/DefUseTestData$Inner1;"
3166,5,"print"
3189,13,"soba/testdata"
3190,32,"d0a0d4b96a03b9567cd223204ffb983b"
3200,42,"soba/testdata/DefUseTestData$Inner2$Inner3"
3201,16,"java/lang/Object"
3202,10,"SourceFile"
3203,19,"DefUseTestData.java"
3204,12,"InnerClasses"
3206,35,"soba/testdata/DefUseTestData$Inner2"
3207,28,"soba/testdata/DefUseTestData"
3208,6,"Inner2"
3210,35,"soba/testdata/DefUseTestData$Inner1"
